station_id,product_id,planned_minutes,runtime_minutes,downtime_minutes,total_quantity,good_quantity,rejected_quantity,availability,performance,quality,oee,scrap_rate,throughput_units_per_planned_hour,weighted_actual_cycle_sec,theoretical_capacity_units,capacity_utilization
ST01,ACT-100,22950,22208.79,741.21,19961,19627,334,0.9677032679738562,0.939233744837067,0.9832673713741796,0.8936912854030503,0.01673262862582035,51.3124183006536,64.5690120735434,21961.72248803828,0.9088995642701525
ST01,ACT-200,10350,9981.73,368.27,8447,8296,151,0.9644183574879227,0.9308707007703073,0.982123830945898,0.8817004830917874,0.017876169054102047,48.09275362318841,68.07374926009234,9409.090909090908,0.8977487922705315
ST01,ACT-300,7200,6970.14,229.86,5419,5293,126,0.9680749999999999,0.9407257243039596,0.976748477578889,0.8895180555555555,0.023251522421110907,44.108333333333334,73.91664698283816,5950.413223140495,0.9106930555555557
ST02,ACT-100,22950,21797.14,1152.86,21429,21282,147,0.9497664488017429,0.9339550968613314,0.993140137197256,0.8809542483660131,0.0068598628027439455,55.63921568627451,58.65918101637966,24157.8947368421,0.8870392156862748
ST02,ACT-200,10350,9804.42,545.58,9161,9098,63,0.9472869565217391,0.9343744964006031,0.9931230215042026,0.8790338164251209,0.006876978495797402,52.74202898550725,61.961663573845655,10350.0,0.8851207729468599
ST02,ACT-300,7200,6905.09,294.91,5923,5860,63,0.9590402777777778,0.9435503375046523,0.9893634982272497,0.8952777777777777,0.010636501772750296,48.833333333333336,67.1585446564241,6545.454545454544,0.904902777777778
ST03,ACT-100,22950,22252.8,697.2,21005,20366,639,0.9696209150326799,0.9415663422131145,0.9695786717448227,0.8851888888888888,0.03042132825517734,53.24444444444445,61.623574863127835,23007.518796992474,0.9129624183006539
ST03,ACT-200,10350,9967.72,382.28,8870,8589,281,0.9630647342995169,0.9343661338801651,0.9683201803833146,0.8713478260869565,0.03167981961668546,49.791304347826085,65.02347350620067,9857.142857142857,0.8998550724637682
ST03,ACT-300,7200,6984.6,215.4,5690,5477,213,0.9700833333333334,0.9409200240529164,0.9625659050966608,0.8786020833333335,0.03743409490333919,45.641666666666666,70.70657469244287,6233.766233766231,0.9127708333333336
ST04,ACT-100,22950,21903.87,1046.13,17598,17250,348,0.9544169934640523,0.9158984234292844,0.9802250255710876,0.8568627450980392,0.019774974428912375,45.09803921568628,71.83491249005569,20131.578947368424,0.8741490196078431
ST04,ACT-200,10350,9873.04,476.96,7436,7262,174,0.9539169082125603,0.9037945759360845,0.9766003227541689,0.8419710144927535,0.023399677245831092,42.09855072463768,76.26358795051104,8625.0,0.8621449275362318
ST04,ACT-300,7200,6932.55,267.45,4870,4714,156,0.9628541666666667,0.9272778414868991,0.9679671457905544,0.8642333333333336,0.032032854209445585,39.28333333333333,81.90996714579055,5454.545454545455,0.8928333333333333
ST05,ACT-100,22950,22398.77,551.23,20584,20460,124,0.9759812636165578,0.9312320870000151,0.9939759036144579,0.9033899782135075,0.006024096385542169,53.490196078431374,62.58535415856977,22648.026315789473,0.9088650689905592
ST05,ACT-200,10350,10107.35,242.65,8828,8765,63,0.9765555555555554,0.9316520485917014,0.9928636157680109,0.9033172302737518,0.007136384231989126,50.81159420289855,66.03165269596737,9703.125,0.9098099838969405
ST05,ACT-300,7200,7099.34,100.66,5688,5632,56,0.9860194444444444,0.9400761197519768,0.9901547116736991,0.9178074074074073,0.009845288326300985,46.93333333333333,71.83817510548523,6136.363636363636,0.9269333333333334
