date,availability,performance,quality,oee,downtime_minutes,good_quantity,rejected_quantity,scrap_rate
2026-01-05,0.9627155555555555,0.9315365127142924,0.9828987470369116,0.8814682074726268,251.67,5805,101,0.0171012529630883
2026-01-06,0.9738918518518518,0.9343354979968368,0.9862818457153038,0.897459007374855,176.23,5536,77,0.0137181542846962
2026-01-07,0.9611955555555556,0.932719463055526,0.983387504514265,0.8816322716227724,261.93,5446,92,0.0166124954857349
2026-01-08,0.9695437037037036,0.9356464489341048,0.9780405405405406,0.8872295970970971,205.58,5211,117,0.0219594594594594
2026-01-09,0.957322962962963,0.9356225616804886,0.9840350877192984,0.8813933033788174,288.07,5609,91,0.0159649122807017
2026-01-12,0.9703274074074074,0.9295660927481268,0.9794558578567464,0.8834529804429638,200.29,5292,111,0.0205441421432537
2026-01-13,0.9640044444444444,0.932913838315381,0.9794705564559696,0.8808702785948203,242.97,5439,114,0.0205294435440302
2026-01-14,0.9721066666666666,0.9324831497432584,0.9826382674064792,0.8907351430901098,188.28,5490,97,0.0173617325935206
2026-01-15,0.968371851851852,0.9300521226158914,0.9850746268656716,0.8871939635157547,213.49,5742,87,0.0149253731343283
2026-01-16,0.9684844444444444,0.933496194384914,0.9814257916150716,0.8872840371003705,212.73,5548,105,0.0185742083849283
2026-01-19,0.9781866666666666,0.9317858491499514,0.9813067784765898,0.8944223609062124,147.24,5617,107,0.0186932215234102
2026-01-20,0.9736133333333332,0.9313373575435172,0.9818181818181818,0.8902758787878787,178.11,5670,105,0.0181818181818181
2026-01-21,0.9642711111111112,0.9315759002257956,0.9813499111900532,0.881538507883253,241.17,5525,105,0.0186500888099467
2026-01-22,0.9667585185185184,0.927162221112068,0.9807113785170766,0.8790527742276575,224.38,5542,109,0.0192886214829233
2026-01-23,0.9672237037037036,0.9322050945866188,0.9859757140413888,0.8890058546431958,221.24,5765,82,0.0140242859586112
2026-01-26,0.9742162962962962,0.9344719250117094,0.9838791786865771,0.8957017402945114,174.04,5798,95,0.0161208213134227
2026-01-27,0.9618622222222224,0.9305889912109792,0.9841242450388266,0.8808880322755889,257.43,5703,92,0.0158757549611734
2026-01-28,0.9693970370370372,0.9325146240834956,0.9837745516652434,0.889309482873138,206.57,5760,95,0.0162254483347566
2026-01-29,0.952534814814815,0.9311916534076976,0.983013698630137,0.871925747742263,320.39,5382,93,0.016986301369863
2026-01-30,0.9525837037037038,0.9324785042058452,0.9845324991310392,0.8745246056420224,320.06,5665,89,0.0154675008689607
2026-02-02,0.9603022222222222,0.9317659512540292,0.982416824685399,0.8790438942413078,267.96,5699,102,0.0175831753146009
2026-02-03,0.9689081481481482,0.932857731166404,0.9818736539842068,0.887469896284775,209.87,5471,101,0.0181263460157932
2026-02-04,0.967674074074074,0.9312131928922096,0.9834419587810465,0.8861902333653012,218.2,5583,94,0.0165580412189536
2026-02-05,0.9511807407407408,0.9311858529567668,0.9857535187092344,0.8731075697914413,329.53,5743,83,0.0142464812907655
2026-02-06,0.9606533333333334,0.9365571938439016,0.9852537722908092,0.8864395089247914,265.59,5746,86,0.0147462277091906
2026-02-09,0.9597822222222224,0.9319664337434572,0.9850720949957592,0.8811320304715233,271.47,5807,88,0.0149279050042408
2026-02-10,0.9615807407407408,0.9314799807518588,0.9818666666666668,0.8794513063374486,259.33,5523,102,0.0181333333333333
2026-02-11,0.969388148148148,0.9301873499435308,0.9797642090445188,0.883465725066964,206.63,5568,115,0.0202357909554812
2026-02-12,0.958142222222222,0.931302113452061,0.9816481994459834,0.875944200138504,282.54,5670,106,0.0183518005540166
2026-02-13,0.9304207407407408,0.9319908104762906,0.9830211797654472,0.8524205052803548,469.66,5616,97,0.0169788202345527
